coverage_id,incident_id,foul_id,event_id,match,minute_label,player,victim,country_family,outlet,stance,claim,quote,source_file,url,coverage_type
mbm_760517_49879055_guardian,F01,760517_49879055,760517,ESP-ARG Final,14',Alexis Mac Allister,,UK,guardian,severity_discussion,under_carded,"[athletic] Top referees always want their first yellow to be for an offence that no one can dispute, which sometimes leads to borderline tackles being excused early in the match. But Mac Allister crossed the lin || [bbc_report] Mac Allister was late on Dani Olmo; Spain complained about Vincic's leni",data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879055_marca_as,F01,760517_49879055,760517,ESP-ARG Final,14',Alexis Mac Allister,,ES,marca_as,severity_discussion,under_carded,"[athletic] Top referees always want their first yellow to be for an offence that no one can dispute, which sometimes leads to borderline tackles being excused early in the match. But Mac Allister crossed the lin || [bbc_report] Mac Allister was late on Dani Olmo; Spain complained about Vincic's leni",data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879092_athletic,F02,760517_49879092,760517,ESP-ARG Final,18',Nicolás Tagliafico,,UK,athletic,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879092_marca_as,F02,760517_49879092,760517,ESP-ARG Final,18',Nicolás Tagliafico,,ES,marca_as,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879205_athletic,F02,760517_49879205,760517,ESP-ARG Final,29',Nicolás Tagliafico,,UK,athletic,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879205_marca_as,F02,760517_49879205,760517,ESP-ARG Final,29',Nicolás Tagliafico,,ES,marca_as,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879313_athletic,F02,760517_49879313,760517,ESP-ARG Final,36',Nicolás Tagliafico,,UK,athletic,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879313_marca_as,F02,760517_49879313,760517,ESP-ARG Final,36',Nicolás Tagliafico,,ES,marca_as,severity_discussion,under_carded,[athletic_scott] Tagliafico could easily have received a yellow for deliberately bringing down Yamal / studs || [marca] Tagliafico glue on Yamal; ref preferred not to book early,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879650_athletic,,760517_49879650,760517,ESP-ARG Final,52',Leandro Paredes,,UK,athletic,severity_discussion,carded_context,[athletic] Paredes booked for cynical elbow into Rodri's back || [guardian] Paredes could have been sent off several times; post-whistle red,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879650_guardian,,760517_49879650,760517,ESP-ARG Final,52',Leandro Paredes,,UK,guardian,severity_discussion,carded_context,[athletic] Paredes booked for cynical elbow into Rodri's back || [guardian] Paredes could have been sent off several times; post-whistle red,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879759_guardian,,760517_49879759,760517,ESP-ARG Final,60',Leandro Paredes,,UK,guardian,severity_discussion,under_carded,[guardian] Paredes could have been sent off several times; post-whistle red,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879939_guardian,,760517_49879939,760517,ESP-ARG Final,76',Leandro Paredes,,UK,guardian,severity_discussion,under_carded,[guardian] Paredes could have been sent off several times; post-whistle red,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49880237_guardian,,760517_49880237,760517,ESP-ARG Final,90'+6',Leandro Paredes,,UK,guardian,severity_discussion,carded_context,[guardian] Paredes could have been sent off several times; post-whistle red,data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49880588_guardian,,760517_49880588,760517,ESP-ARG Final,111',Alexis Mac Allister,,UK,guardian,severity_discussion,carded_context,"[guardian] 
11.49pm
CEST
23:49
111 min
Mac Allister is booked for a foul on somebody or other.
Argentina
look semi-resigned to their fate.
",data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
